message,label
"Get ₹1 lakh per day by joining our scheme.",scam
"Claim your reward now before it expires.",scam
"Limited time offer! Double your money today.",scam
"We need ₹4000 more to process your funds.",scam
"Send money to get access to VIP membership.",scam
"Pay now to complete your KYC verification.",scam
"Act fast! Your account is under review.",scam
"Click here to get your refund.",scam
"Your Aadhar has issues. Resolve it here.",scam
"Earn from home! No experience needed.",scam
"Send ₹1500 to activate your payment gateway.",scam
"Join our premium WhatsApp group for tips.",scam
"Unlock crypto profit by paying now.",scam
"Verify your number to avoid disconnection.",scam
"You're selected for bonus income, enroll now.",scam
"Payment stuck. Send more to unblock it.",scam
"Congratulations! Your loan is approved. Pay ₹2500 to process.",scam
"Government bonus pending. Click here to receive.",scam
"Pay registration fee to start trading.",scam
"Bank reward waiting. Confirm your details.",scam
"Unusual login detected. Verify now!",scam
"Get ₹50 cashback now! Just verify account.",scam
"Click this link to avoid tax penalty.",scam
"Only ₹3000 needed to unlock your wallet.",scam
"You won ₹1 crore! Send account details.",scam
"Participate in this survey to win ₹10000.",scam
"You've inherited property. Pay ₹5000 to claim.",scam
"Your card is blocked. Reactivate via link.",scam
"Verify PAN card immediately to continue services.",scam
"Redeem your lucky draw. Click now!",scam
"Download this app to receive your bonus.",scam
"Lottery winning confirmed. Pay to process.",scam
"Exclusive stock tip! Join now. Limited slots.",scam
"Send payment quickly. Funds are waiting.",scam
"Register now to access high-return investments.",scam
"Daily profit assured. Start today!",scam
"One-time offer! Secure your future with ₹5000.",scam
"Double your cash instantly. Contact now.",scam
"You have rewards pending. Act now.",scam
"Earn ₹10000/day trading crypto. No skill needed.",scam
"Referral bonus available. Join and earn.",scam
"Your insurance is expired. Renew via link.",scam
"Download this tool to recover your money.",scam
"Pay verification fee to complete transaction.",scam
"You've been shortlisted for investment scheme.",scam
"Bonus waiting. Activate immediately.",scam
"Send ₹2500 for faster processing.",scam
"Join my Telegram channel for daily tips.",scam
"Limited slots available! Secure yours now.",scam
"Click here for instant cashback offer.",scam
"Bank update needed. Click to proceed.",scam
"Your UPI is suspended. Fix now.",scam
"Credit card blocked. Reactivate online.",scam
"Enter card info to confirm refund.",scam
"Blocked account warning. Take action fast.",scam
"Trading system ready. Join with deposit.",scam
"Get free tips on Forex by paying ₹1000.",scam
"Emergency alert! Update info online.",scam
"Money stuck? We can help. Just pay.",scam
"One-time fee to receive your reward.",scam
"Instant income opportunity. Don’t miss.",scam
"Unlock hidden profits. Register now!",scam
"You're approved for business loan. Pay to process.",scam
"Gold scheme: pay now to join.",scam
"Your bank details needed for verification.",scam
"Government scheme ends soon. Register now.",scam
"Legal notice issued. Resolve by paying ₹4000.",scam
"Urgent balance update required. Click below.",scam
"Your EPFO is inactive. Fix it online.",scam
"Click for account unlock code.",scam
"Recharge now and win cash.",scam
"System update needed. Enter OTP.",scam
"Gift card pending. Verify identity.",scam
"Profile incomplete. Pay to complete it.",scam
"Install this APK to get cashback.",scam
"Activate your loan payout by paying ₹3500.",scam
"Enter UPI PIN to complete refund.",scam
"Submit payment and win prizes.",scam
"Your eKYC failed. Click to retry.",scam
"Grab this crypto tip. Pay now.",scam
"Free stock tips. Limited-time access.",scam
"Investment required to continue service.",scam
"Payment pending. Act immediately.",scam
"Reactivate FASTag here.",scam
"Click for job offer details.",scam
"Unlock rewards with payment.",scam
"Meeting is scheduled at 11 AM. Don’t be late.",safe
"Don’t forget to complete your homework.",safe
"The OTP for login is 947382.",safe
"I've emailed you the report. Please check.",safe
"Your order will be delivered by tomorrow.",safe
"Join the Zoom call using the link I sent.",safe
"Team lunch is planned for Friday.",safe
"The electricity bill is due on 10th August.",safe
"I've transferred the rent for this month.",safe
"Good luck on your exam tomorrow!",safe
"Let’s meet at 4 PM for project discussion.",safe
"Please bring your ID for verification.",safe
"The PDF is attached for your review.",safe
"I’ll be late today. Sorry!",safe
"Happy Birthday! Wishing you joy and success.",safe
"The parcel has been dispatched successfully.",safe
"Your profile has been updated.",safe
"Reminder: Submit the assignment today.",safe
"See you at the event this evening.",safe
"I’ll share the presentation slides shortly.",safe
"Train ticket confirmed. Check email.",safe
"Let me know if you need help.",safe
"Payment of ₹500 received.",safe
"Meeting postponed to 3 PM.",safe
"Welcome to the group!",safe
"Your leave is approved.",safe
"Got your message. Will reply soon.",safe
"The deadline is extended to Monday.",safe
"Let’s catch up for coffee tomorrow.",safe
"Your email has been verified.",safe
"Successfully logged into your account.",safe
"Don’t forget to carry an umbrella.",safe
"Feedback submitted. Thanks!",safe
"Invoice generated and sent.",safe
"Reminder: Call the client at 2 PM.",safe
"Password changed successfully.",safe
"I’m on my way now.",safe
"Please review the code before EOD.",safe
"See you at the conference.",safe
"Your request is being processed.",safe
"The application is under review.",safe
"Welcome aboard the team!",safe
"The file has been uploaded.",safe
"Interview scheduled for Monday.",safe
"Hope you had a great day!",safe
"System rebooted without issues.",safe
"I will bring the notes tomorrow.",safe
"Let's discuss the proposal soon.",safe
"All the best for your interview.",safe
"Server maintenance at 10 PM today.",safe
"Class is canceled for today.",safe
"I’ll be offline for a while.",safe
"Thanks for the update!",safe
"Client call at 11:30 AM.",safe
"Please wear formal attire.",safe
"Your subscription is active.",safe
"Flight departs at 8:45 PM.",safe
"Library books are due tomorrow.",safe
"Meeting link has been updated.",safe
"Project deadline is next Friday.",safe
"Contact HR for more details.",safe
"Let’s connect on LinkedIn.",safe
"System update successful.",safe
"Water supply will be off from 2-4 PM.",safe
"Final exam date announced.",safe
"Training starts on 12th Aug.",safe
"Doctor’s appointment at 5 PM.",safe
"Vaccination drive on campus.",safe
"I'll send you the notes.",safe
"Don't forget to log your hours.",safe
"Security alert resolved.",safe
"Join the class via Teams.",safe
"Let's plan for the outing.",safe
"Guest lecture tomorrow.",safe
"I got the files you shared.",safe
"Festival holiday next week.",safe
"I submitted the form today.",safe
"Please confirm attendance.",safe
"Printer is out of paper.",safe
"Coffee break at 3 PM?",safe
"Let's meet near the library.",safe
"Notes uploaded to Drive.",safe
"The event was amazing!",safe
"Back to work from Monday.",safe
"Today’s topic: Cybersecurity.",safe
"Project files submitted.",safe
"Good night. Take care!",safe
"Just reached the venue.",safe
"Workshop starts at 9 AM.",safe
"Mail forwarded to manager.",safe
"Class test tomorrow!",safe
"Weather looks great today.",safe
"Fire drill at 11 AM.",safe
"Let’s complete the task now.",safe
"Practice questions uploaded.",safe
"Reminder set for the call.",safe
"Send me the location.",safe
"Got the delivery today.",safe
"Board meeting agenda shared.",safe
"Pay ₹5000 immediately to unlock your blocked bank account.",scam
"Urgent: Your account is compromised. Click here to secure it.",scam
"You’ve been selected for a ₹10 lakh reward. Claim now!",scam
"Invest today, get double returns tomorrow. Limited offer!",scam
"Download this app and win cash instantly!",scam
"Click here to avoid penalty on your PAN card!",scam
"We need more money to process your refund.",scam
"Only ₹3000 to unlock premium trading signals.",scam
"Register today and get ₹20000 credit instantly.",scam
"Complete KYC urgently to avoid account suspension.",scam
"Update your Aadhaar now or face legal action.",scam
"Get free crypto worth ₹5000. Limited time!",scam
"Pay ₹500 for loan approval. Instant transfer!",scam
"Click to upgrade your bank security. Time sensitive!",scam
"Urgent payment needed to avoid service disconnection.",scam
"Pay ₹1000 to get access to our secret investment group.",scam
"Send ₹2500 to activate your winning lottery ticket.",scam
"Click to track your shipment. Enter credentials to proceed.",scam
"Get rich using this secret Telegram channel!",scam
"Your parcel is held due to unpaid fees. Pay now!",scam
"Transfer ₹7000 today to start earning tomorrow.",scam
"You have a new secure message. Verify to read.",scam
"Congratulations! You’ve qualified for government grant.",scam
"Help us verify your UPI ID by sending ₹1.",scam
"Alert: Your credit card will be blocked. Fix now.",scam
"Upgrade your SIM to 5G by clicking this link.",scam
"Complete verification to avoid income tax penalties.",scam
"Act fast! ₹50,000 prize expiring today!",scam
"Earn ₹10000 weekly working from home. Join now!",scam
"Your income tax refund is pending. Click here to claim.",scam
"Send ₹6000 to receive your first payout.",scam
"Unlock unlimited earnings via our trading bot. ₹1000 only!",scam
"You are the lucky winner! Just verify details here.",scam
"Claim ₹1 lakh insurance by updating details here.",scam
"Click here to stop loan recovery actions.",scam
"Send ₹3000 for emergency aid to release your blocked funds.",scam
"Exclusive offer for crypto investment. Don’t miss out!",scam
"Bank alert: Your transaction failed. Click to confirm.",scam
"Get instant cash loan. No documents required!",scam
"Send ₹999 to access VIP trading channel.",scam
"Only today: Double your money with our expert tip!",scam
"Click here to stop the deduction from your account.",scam
"Dear customer, your bank login has expired. Reset now.",scam
"Congratulations, you won a Samsung Galaxy S21!",scam
"Clear ₹4500 dues to continue using your mobile service.",scam
"Pay ₹500 processing fee to claim your cashback.",scam
"You’ve got a blocked income. Reactivate with ₹2000.",scam
"You are selected for ₹25000 job reward. Click to accept.",scam
"Get free IPL betting tips. Join Telegram group now!",scam
"Register your mobile again to avoid permanent block.",scam
"Invest ₹500 today, get ₹5000 tomorrow!",scam
"Guaranteed 200% return in 3 days — send payment now",scam
"Pay ₹1000 now and get ₹3000 within 48 hours",scam
"Our trading group makes ₹10,000/day, join now for ₹999",scam
"Quick money guaranteed — limited time offer",scam
"Congratulations! You have won ₹1 lakh — pay ₹500 to claim",scam
"Your number was selected in our lucky draw — send processing fee",scam
"Win iPhone 15 — pay shipping ₹299",scam
"Claim your reward now before it expires",scam
"Work from home and earn ₹5000/day — registration fee ₹299",scam
"High paying job — send ₹1000 for verification",scam
"Urgent hiring, limited seats — pay now to confirm",scam
"Your bank account will be blocked — click this link to verify",scam
"Suspicious activity detected — login here immediately",scam
"Update your KYC now to avoid service interruption",scam
"Your parcel is on hold — pay ₹150 to release",scam
"I need financial help to visit you, please send ₹2000",scam
"I will send you a gift but need shipping charges",scam
"My wallet got stolen, please transfer money",scam
"Bank update needed. Click to proceed.",scam
"Invest ₹500 today, get ₹5000 tomorrow!",scam
"Guaranteed 200% return in 3 days — send payment now",scam
"Pay ₹1000 now and get ₹3000 within 48 hours",scam
"Our trading group makes ₹10,000/day, join now for ₹999",scam
"Quick money guaranteed — limited time offer",scam
"Congratulations! You have won ₹1 lakh — pay ₹500 to claim",scam
"Your number was selected in our lucky draw — send processing fee",scam
"Win iPhone 15 — pay shipping ₹299",scam
"Claim your reward now before it expires",scam
"Work from home and earn ₹5000/day — registration fee ₹299",scam
"High paying job — send ₹1000 for verification",scam
"Urgent hiring, limited seats — pay now to confirm",scam
"Your bank account will be blocked — click this link to verify",scam
"Suspicious activity detected — login here immediately",scam
"Update your KYC now to avoid service interruption",scam
"Your parcel is on hold — pay ₹150 to release",scam
"I need financial help to visit you, please send ₹2000",scam
"I will send you a gift but need shipping charges",scam
"My wallet got stolen, please transfer money",scam
"Bank update needed. Click to proceed.",scam
"Your Netflix account will be suspended — renew now",scam
"Recharge your phone with ₹200 and get ₹2000 instantly",scam
"Send OTP to confirm your prize",scam
"Transfer money to secure your booking",scam
"Limited offer — buy one get five free",scam
"Click here to claim free cryptocurrency",scam
"Pay to unlock secret investment plan",scam
"Register now and earn passive income daily",scam
"Join my group to make 50% profit per day",scam
"One-time payment of ₹999 for lifetime earnings",scam
"Your order is on hold — pay customs fee",scam
"Hey, are we still meeting for lunch tomorrow?",not_scam
"Can you send me yesterday's meeting notes?",not_scam
"Happy birthday! Hope you have a great year ahead.",not_scam
"Let’s catch up this weekend at my place.",not_scam
"Your Amazon order will arrive tomorrow.",not_scam
"Here’s the PDF for the project you requested.",not_scam
"Don’t forget to water the plants while I’m away.",not_scam
"The football match starts at 7 PM.",not_scam
"Check out this funny video I found!",not_scam
"Your cab will arrive in 5 minutes.",not_scam
"Good morning! How was your trip?",not_scam
"I have attached the homework solutions.",not_scam
"Meeting rescheduled to 3 PM tomorrow.",not_scam
"Happy Diwali! Wishing you joy and prosperity.",not_scam
"Please review the document before submitting.",not_scam
"Your package has been delivered.",not_scam
"Let's order pizza tonight.",not_scam
"Don't forget to bring your ID card tomorrow.",not_scam
"Congratulations on your promotion!",not_scam
"Can we postpone the meeting to Friday?",not_scam

"Bank update needed. Click to proceed.",scam
"Your account is locked. Verify now to restore access.",scam
"You have won a cash prize! Claim within 24 hours.",scam
"Urgent: Your credit card will be blocked. Confirm details.",scam
"Congratulations! You are selected for a free vacation.",scam
"Limited time offer! Pay ₹500 and get ₹5000 in return.",scam
"Your KYC is incomplete. Complete it now to avoid suspension.",scam
"You are eligible for a government grant. Apply now.",scam
"Final notice: Pay immediately to avoid legal action.",scam
"Click the link to double your investment in 48 hours.",scam
"Lottery winner! Send bank details to receive funds.",scam
"Payment pending. Your parcel will be returned unless confirmed.",scam
"Free recharge! Click now to claim ₹100 instantly.",scam
"Investment opportunity with guaranteed profits. Act now.",scam
"Your account will be debited unless you cancel here.",scam
"Upgrade your account for premium benefits. Pay now.",scam
"Urgent security alert: Update password immediately.",scam
"Free iPhone giveaway! Register before midnight.",scam
"Your account shows unusual activity. Login to verify.",scam
"Double your crypto investment in 24 hours. Click here.",scam
"You are selected for a government scheme. Submit details.",scam
"Congratulations! You have won a new car. Pay delivery fee now.",scam
"Confirm your UPI PIN to receive ₹10,000.",scam
"Free Netflix subscription for 1 year. Click to activate.",scam
"You have pending income tax refund. Submit PAN to claim.",scam
"Get 300% return on investment in just 7 days.",scam
"Your loan is approved. Pay ₹999 processing fee now.",scam
"Electricity bill overdue. Pay now to avoid disconnection.",scam
"Final warning: Legal action will be taken if unpaid.",scam
"Your mobile SIM will be blocked. Verify immediately.",scam
"Click here to secure your account from hackers.",scam
"Your bank account is under investigation. Update details.",scam
"Exclusive offer: Buy one get three free today.",scam
"You are pre-approved for a high credit limit card.",scam
"Urgent: Pay toll fine to avoid penalties.",scam
"Get instant loan with no documents. Apply now.",scam
"Claim free shopping voucher worth ₹5000.",scam
"Final attempt to contact you about your prize.",scam
"Your insurance policy is expiring. Renew now.",scam
"Receive ₹2000 cashback today. Limited offer.",scam
"Get ₹1000 Paytm cash instantly. Click now.",scam
"Bitcoin investment with guaranteed returns.",scam
"You have won free flight tickets. Claim now.",scam
"Government relief fund available. Apply online.",scam
"Win an Apple MacBook Pro. Join now.",scam
"Gold investment scheme with 100% profit.",scam
"Pay ₹300 to get lifetime Netflix account.",scam
"Your PF account requires verification.",scam
"Online reward: Click to claim ₹10,000.",scam
"Your GST registration will be cancelled. Verify now.",scam
"Job offer with ₹50,000 monthly salary. Apply now.",scam
"Win a dream holiday to Maldives. Register now.",scam
"Investment plan to triple your money in 1 month.",scam
"Pay ₹100 for guaranteed cash reward.",scam
"Your account password expires today. Update now.",scam
"Free shopping spree. Sign up now.",scam
"You are eligible for a free health checkup. Book now.",scam
"Your parcel is stuck at customs. Pay duty to release.",scam
"Win ₹1 lakh in lucky draw. Confirm participation.",scam
"Mobile recharge cashback offer ending soon.",scam
"Get free petrol vouchers worth ₹500.",scam
"Upgrade to gold membership. Pay online.",scam
"You have unpaid road tax. Pay today.",scam
"Claim free Amazon gift card worth ₹2000.",scam
"Your bank details are outdated. Update now.",scam
"Click to activate free insurance coverage.",scam
"Exclusive pre-sale offer. Buy now.",scam
"You are selected for premium investment plan.",scam
"Pay token fee to receive your reward.",scam
"Claim free hotel stay for 2 nights.",scam
"Pay now to reserve your lottery winnings.",scam
"Your ATM card will be blocked soon.",scam
"Click to download secure banking app.",scam
"Pay ₹200 to skip KYC verification.",scam
"Free iPad for lucky users. Register now.",scam
"Get ₹500 instantly in your account.",scam
"Complete payment to unlock your reward.",scam
"Claim free mobile data pack now.",scam
"Final notice: Court action pending.",scam
"Investment club with daily profit payout.",scam
"Click now to protect your account from fraud.",scam
"Your debit card is inactive. Activate now.",scam
"Exclusive sale: 90% off today only.",scam
"Receive free PayPal balance instantly.",scam
"You have won grocery vouchers worth ₹3000.",scam
"Pay ₹500 processing fee for instant loan.",scam
"Your online wallet is frozen. Verify details.",scam
"Join this plan to earn ₹10,000 weekly.",scam
"Final call to claim your luxury gift.",scam
"Get free OTT subscription for 6 months.",scam
"Lottery payment pending. Pay fee now.",scam
"Free recharge code available. Claim here.",scam
"Win big in our festive contest. Click now.",scam
"Immediate action required: Account at risk.",scam
"Receive double cashback for payments today.",scam
"Your email account is expiring. Renew now.",scam
"Special offer: Earn ₹500 daily online.",scam
"Exclusive VIP membership available today.",scam
"Pay to unblock your frozen account.",scam
"Let's meet for lunch tomorrow.",safe
"Happy birthday! Wishing you a great year ahead.",safe
"Are you free to join the meeting at 3 PM?",safe
"Please send me the final project report.",safe
"Looking forward to the weekend trip!",safe
"Don't forget to water the plants today.",safe
"The book you recommended was amazing.",safe
"Can you help me move some boxes this evening?",safe
"The class starts at 10 AM sharp.",safe
"I'll call you when I reach home.",safe
"Let's plan a picnic next week.",safe
"The weather looks great for a walk.",safe
"I enjoyed our coffee chat yesterday.",safe
"Please remember to lock the door.",safe
"Can you share the recipe for that cake?",safe
"The train will arrive at 6:15 PM.",safe
"Don't forget your umbrella, it might rain.",safe
"I’m working from home today.",safe
"Your parcel has been delivered.",safe
"Can we reschedule our appointment?",safe
"I'll bring snacks for the meeting.",safe
"The files are saved in the shared folder.",safe
"Have you seen the latest episode?",safe
"Let's take the dog for a walk.",safe
"Thanks for helping me with the homework.",safe
"The printer is out of paper.",safe
"I'll send you the address by text.",safe
"Let’s watch a movie tonight.",safe
"Don't forget to submit the form by Friday.",safe
"Can you book a table for dinner?",safe
"Your order is ready for pickup.",safe
"Have a great weekend!",safe
"I’ll meet you at the library.",safe
"Let’s go shopping this afternoon.",safe
"Thanks for your feedback on my work.",safe
"The lights need to be turned off when leaving.",safe
"Your subscription has been renewed.",safe
"Please bring your ID card tomorrow.",safe
"Let's go for a run in the morning.",safe
"Can you send me the meeting link?",safe
"Hope you’re feeling better now.",safe
"Your coffee is on the kitchen counter.",safe
"I loved the concert last night.",safe
"The train ticket is confirmed.",safe
"I’ll pick you up at 8 AM.",safe
"The cake will be ready in 20 minutes.",safe
"Please check your email for the updates.",safe
"Have you completed the assignment?",safe
"Your payment was successful.",safe
"Let’s have a video call this evening.",safe
"Can you bring the charger?",safe
"Thanks for inviting me to your party.",safe
"The floor is slippery, be careful.",safe
"I’ll be working late today.",safe
"Can you bring some fruits from the market?",safe
"Your phone battery is low.",safe
"The garden looks beautiful today.",safe
"I need your opinion on this design.",safe
"Your favorite song is playing on the radio.",safe
"Please switch off the fan before leaving.",safe
"Let’s go for ice cream after dinner.",safe
"The movie starts at 9 PM.",safe
"Your luggage is ready for the trip.",safe
"Please bring your notebook to class.",safe
"I enjoyed our hike last weekend.",safe
"Have you fed the cat?",safe
"Your friend called while you were away.",safe
"Can you help me carry these bags?",safe
"Let’s try the new restaurant in town.",safe
"I’ll text you the details later.",safe
"The kitchen needs cleaning.",safe
"Please refill the water bottle.",safe
"Your shirt is on the chair.",safe
"Thanks for the wonderful dinner.",safe
"Let's meet at the park in the evening.",safe
"Your shoes are in the closet.",safe
"I loved your presentation today.",safe
"Can you bring some bread from the bakery?",safe
"Let's plan a game night.",safe
"The train is running late.",safe
"Please water the plants daily.",safe
"Your laptop is on the desk.",safe
"I’m reading an interesting book.",safe
"The school will reopen next week.",safe
"Can you bring an umbrella?",safe
"Thanks for your help with the garden.",safe
"Your coffee order is ready.",safe
"I enjoyed the play we watched.",safe
"Please close the window before sleeping.",safe
"Let’s take a break and have tea.",safe
"Your bag is in the living room.",safe
"Can you turn off the lights?",safe
"Thanks for the ride home.",safe
"Your seat is near the window.",safe
"I’m baking cookies this afternoon.",safe
"Please bring extra chairs for the guests.",safe
"Your phone is on the table.",safe
"Let's go for a swim tomorrow.",safe
"Thanks for sharing your notes.",safe
"Your car is parked outside.",safe
"Please wash your hands before eating.",safe
"Your email has been sent.",safe
"Let’s have breakfast together tomorrow.",safe
"Can you pass me the salt?",safe
"Your keys are on the counter.",safe
"I’ll send you the photos later.",safe
"Let’s walk to the market.",safe
"Thanks for helping me clean the room.",safe
"Your pen is on the notebook.",safe
